224,Мадагаскар 2,сказка семейный анимация комедия приключения,2008,США,8.2,https://www.kinoafisha.info/movies/2179727/
225,Т-34,военный боевик приключения,2018,Россия,8.2,https://www.kinoafisha.info/movies/8324941/
226,Эффект бабочки,драма триллер фантастика,2004,США,8.2,https://www.kinoafisha.info/movies/5522/
227,Король говорит!,драма исторический,2010,Великобритания Австралия,8.2,https://www.kinoafisha.info/movies/8099607/
228,Лёд 2,мелодрама драма,2020,Россия,8.2,https://www.kinoafisha.info/movies/8355575/
229,Лучшее предложение,мелодрама драма,2013,Италия,8.2,https://www.kinoafisha.info/movies/8148232/
230,Механик,драма боевик,2011,США,8.2,https://www.kinoafisha.info/movies/7808964/
231,Вольт,анимация комедия семейный,2008,США,8.2,https://www.kinoafisha.info/movies/7588222/
232,Неадекватные люди,комедия,2010,Россия,8.2,https://www.kinoafisha.info/movies/8098290/
233,Суперсемейка 2,анимация детский,2018,США,8.2,https://www.kinoafisha.info/movies/8323488/
234,Помни меня,драма мелодрама,2010,США,8.2,https://www.kinoafisha.info/movies/7737294/
235,Собачья жизнь,драма комедия,2017,США,8.2,https://www.kinoafisha.info/movies/8326885/
236,Люди Икс: Начало. Росомаха,фантастика боевик,2009,США Новая Зеландия Австралия,8.2,https://www.kinoafisha.info/movies/4808778/
237,"Значит, война",комедия боевик мелодрама,2011,США,8.2,https://www.kinoafisha.info/movies/8101079/
238,Впритык,комедия,2010,США,8.2,https://www.kinoafisha.info/movies/7844927/
239,Люди Икс: Первый класс,боевик фантастика драма,2011,США,8.2,https://www.kinoafisha.info/movies/8092465/
240,Стражи Галактики. Часть 2,боевик фантастика,2017,США,8.2,https://www.kinoafisha.info/movies/8176258/
241,Миллионер из трущоб,мелодрама драма комедия,2008,Великобритания,8.2,https://www.kinoafisha.info/movies/5780683/
242,Майор Гром: Чумной Доктор,фантастика драма боевик,2021,Россия,8.2,https://www.kinoafisha.info/movies/8331024/
243,Кунг-Фу Панда 2,комедия анимация,2011,США,8.2,https://www.kinoafisha.info/movies/8119257/
244,Легенды ночных стражей,фэнтези анимация приключения,2010,США Австралия,8.2,https://www.kinoafisha.info/movies/7667809/
245,Доктор Стрэндж,фэнтези приключения,2016,США,8.2,https://www.kinoafisha.info/movies/8168491/
246,Ральф против интернета,анимация комедия фантастика приключения семейный,2018,США,8.2,https://www.kinoafisha.info/movies/8329618/
247,После,драма мелодрама,2019,США,8.2,https://www.kinoafisha.info/movies/8355420/
248,Ледниковый период 2: Глобальное потепление,комедия семейный анимация,2006,США,8.2,https://www.kinoafisha.info/movies/556275/
249,Поворот не туда,триллер ужасы,2003,США,8.2,https://www.kinoafisha.info/movies/5417/
250,Щенячий патруль в кино,анимация приключения,2021,США Канада,8.2,https://www.kinoafisha.info/movies/8360675/
251,Мстители,боевик,2012,США,8.2,https://www.kinoafisha.info/movies/8092771/
252,Плохие парни навсегда,боевик криминал комедия,2020,США,8.2,https://www.kinoafisha.info/movies/8319640/
253,Хоббит: Пустошь Смауга,драма фэнтези приключения,2013,США Новая Зеландия,8.2,https://www.kinoafisha.info/movies/8144241/
254,О чем говорят мужчины,комедия,2010,Россия,8.2,https://www.kinoafisha.info/movies/7795867/
255,"Я, робот",фантастика приключения триллер,2004,США,8.2,https://www.kinoafisha.info/movies/5633/
256,Заклятие 3: По воле дьявола,ужасы,2021,США,8.2,https://www.kinoafisha.info/movies/8356789/
257,Аквамен,фантастика приключения боевик,2018,США,8.2,https://www.kinoafisha.info/movies/8171722/
258,Мадагаскар 3,анимация семейный,2012,США,8.2,https://www.kinoafisha.info/movies/8136598/
259,Человек-паук: Через вселенные,анимация приключения фантастика,2018,США,8.2,https://www.kinoafisha.info/movies/8353992/
260,Рыцарь дня,боевик комедия,2010,США,8.2,https://www.kinoafisha.info/movies/7810546/
261,Доктор Сон,мистика ужасы,2019,США,8.2,https://www.kinoafisha.info/movies/8354825/
262,Молот,драма спорт,2016,Россия,8.2,https://www.kinoafisha.info/movies/8326974/
263,Реквием по мечте,драма криминал,2000,США,8.2,https://www.kinoafisha.info/movies/330148/
264,Гадкий я,семейный анимация,2010,США,8.1,https://www.kinoafisha.info/movies/8094215/
265,Моана,анимация,2016,США,8.1,https://www.kinoafisha.info/movies/8162048/
266,Принцесса Мононоке,аниме  сказка приключения анимация триллер драма,1997,Япония,8.1,https://www.kinoafisha.info/movies/4019055/
